"time","capacitor1.v","der(capacitor1.v)","capacitor1.i","capacitor1.n.i","capacitor1.n.v","capacitor1.p.i","capacitor1.p.v","ground1.p.i","ground1.p.v","ground2.p.v","ground3.p.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.i","resistor2.v","sineVoltage1.v","constantVoltage1.i","constantVoltage1.n.i","constantVoltage1.n.v","constantVoltage1.p.i","ground2.p.i","ground3.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.n.i","resistor2.p.i","resistor2.p.v","sineVoltage1.i","sineVoltage1.n.i","sineVoltage1.n.v","sineVoltage1.p.i","sineVoltage1.p.v","sineVoltage1.signalSource.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0,0,0,-0,0,0,-0,0,0,0,-0,0,0,-0,0,0,-0,0,0
0.01,0,0,0,0,0.005002452612811644,0,0.005002452612811644,0,0,0,0,2.502453214342605e-05,1,0.005002452612811644,2.502453214342605e-05,1,0.005002452612811644,0.005002452612811644,0.01000490522562329,0.005002452612811644,-0.005002452612811644,0,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0.005002452612811644,0.01000490522562329,-0.005002452612811644,0.005002452612811644,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0,-0.005002452612811644,0.01000490522562329,0.01000490522562329
0.02,0,0,0,0,0.01000440447694715,0,0.01000440447694715,0,0,0,0,0.0001000881089383602,1,0.01000440447694715,0.0001000881089383602,1,0.01000440447694715,0.01000440447694715,0.0200088089538943,0.01000440447694715,-0.01000440447694715,0,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0.01000440447694715,0.0200088089538943,-0.01000440447694715,0.01000440447694715,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0,-0.01000440447694715,0.0200088089538943,0.0200088089538943
0.03,0,0,0,0,0.01500535489385565,0,0.01500535489385565,0,0,0,0,0.0002251606754905576,1,0.01500535489385565,0.0002251606754905576,1,0.01500535489385565,0.01500535489385565,0.0300107097877113,0.01500535489385565,-0.01500535489385565,0,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0.01500535489385565,0.0300107097877113,-0.01500535489385565,0.01500535489385565,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0,-0.01500535489385565,0.0300107097877113,0.0300107097877113
0.04,0,0,0,0,0.02000480326523176,0,0.02000480326523176,0,0,0,0,0.0004001921536806272,1,0.02000480326523176,0.0004001921536806272,1,0.02000480326523176,0.02000480326523176,0.04000960653046352,0.02000480326523176,-0.02000480326523176,0,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0.02000480326523176,0.04000960653046352,-0.02000480326523176,0.02000480326523176,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0,-0.02000480326523176,0.04000960653046352,0.04000960653046352
0.05,0,0,0,0,0.02500224914312582,0,0.02500224914312582,0,0,0,0,0.0006251124622149359,1,0.02500224914312582,0.0006251124622149359,1,0.02500224914312582,0.02500224914312582,0.05000449828625164,0.02500224914312582,-0.02500224914312582,0,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0.02500224914312582,0.05000449828625164,-0.02500224914312582,0.02500224914312582,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0,-0.02500224914312582,0.05000449828625164,0.05000449828625164
0.06,0,0,0,0,0.02999719228003903,0,0.02999719228003903,0,0,0,0,0.0008998315446856329,1,0.02999719228003903,0.0008998315446856329,1,0.02999719228003903,0.02999719228003903,0.05999438456007805,0.02999719228003903,-0.02999719228003903,0,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0.02999719228003903,0.05999438456007805,-0.02999719228003903,0.02999719228003903,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0,-0.02999719228003903,0.05999438456007805,0.05999438456007805
0.07000000000000001,0,0,0,0,0.03498913267899855,0,0.03498913267899855,0,0,0,0,0.001224239405628564,1,0.03498913267899855,0.001224239405628564,1,0.03498913267899855,0.03498913267899855,0.0699782653579971,0.03498913267899855,-0.03498913267899855,0,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0.03498913267899855,0.0699782653579971,-0.03498913267899855,0.03498913267899855,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0,-0.03498913267899855,0.0699782653579971,0.0699782653579971
0.08,0,0,0,0,0.0399775706436075,0,0.0399775706436075,0,0,0,0,0.001598206154564628,1,0.0399775706436075,0.001598206154564628,1,0.0399775706436075,0.0399775706436075,0.079955141287215,0.0399775706436075,-0.0399775706436075,0,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0.0399775706436075,0.079955141287215,-0.0399775706436075,0.0399775706436075,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0,-0.0399775706436075,0.079955141287215,0.079955141287215
0.09,0,0,0,0,0.04496200682806493,0,0.04496200682806493,0,0,0,0,0.002021582058006957,1,0.04496200682806493,0.002021582058006957,1,0.04496200682806493,0.04496200682806493,0.08992401365612986,0.04496200682806493,-0.04496200682806493,0,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0.04496200682806493,0.08992401365612986,-0.04496200682806493,0.04496200682806493,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0,-0.04496200682806493,0.08992401365612986,0.08992401365612986
0.1,0,0,0,0,0.04994194228715059,0,0.04994194228715059,0,0,0,0,0.00249419759941308,1,0.04994194228715059,0.00249419759941308,1,0.04994194228715059,0.04994194228715059,0.09988388457430118,0.04994194228715059,-0.04994194228715059,0,0.04994194228715059,-0.04994194228715059,0.04994194228715059,0.04994194228715059,-0.04994194228715059,0.04994194228715059,0.04994194228715059,0.09988388457430118,-0.04994194228715059,0.04994194228715059,0.04994194228715059,-0.04994194228715059,0.04994194228715059,0,-0.04994194228715059,0.09988388457430118,0.09988388457430118
0.11,0,0,0,0,0.05491687852616969,0,0.05491687852616969,0,0,0,0,0.003015863547058078,1,0.05491687852616969,0.003015863547058078,1,0.05491687852616969,0.05491687852616969,0.1098337570523394,0.05491687852616969,-0.05491687852616969,0,0.05491687852616969,-0.05491687852616969,0.05491687852616969,0.05491687852616969,-0.05491687852616969,0.05491687852616969,0.05491687852616969,0.1098337570523394,-0.05491687852616969,0.05491687852616969,0.05491687852616969,-0.05491687852616969,0.05491687852616969,0,-0.05491687852616969,0.1098337570523394,0.1098337570523394
0.12,0,0,0,0,0.05988631755085255,0,0.05988631755085255,0,0,0,0,0.003586371029801551,1,0.05988631755085255,0.003586371029801551,1,0.05988631755085255,0.05988631755085255,0.1197726351017051,0.05988631755085255,-0.05988631755085255,0,0.05988631755085255,-0.05988631755085255,0.05988631755085255,0.05988631755085255,-0.05988631755085255,0.05988631755085255,0.05988631755085255,0.1197726351017051,-0.05988631755085255,0.05988631755085255,0.05988631755085255,-0.05988631755085255,0.05988631755085255,0,-0.05988631755085255,0.1197726351017051,0.1197726351017051
0.13,0,0,0,0,0.06484976191720412,0,0.06484976191720412,0,0,0,0,0.004205491620718058,1,0.06484976191720412,0.004205491620718058,1,0.06484976191720412,0.06484976191720412,0.1296995238344082,0.06484976191720412,-0.06484976191720412,0,0.06484976191720412,-0.06484976191720412,0.06484976191720412,0.06484976191720412,-0.06484976191720412,0.06484976191720412,0.06484976191720412,0.1296995238344082,-0.06484976191720412,0.06484976191720412,0.06484976191720412,-0.06484976191720412,0.06484976191720412,0,-0.06484976191720412,0.1296995238344082,0.1296995238344082
0.14,0,0,0,0,0.06980671478129849,0,0.06980671478129849,0,0,0,0,0.004872977428557557,1,0.06980671478129849,0.004872977428557557,1,0.06980671478129849,0.06980671478129849,0.139613429562597,0.06980671478129849,-0.06980671478129849,0,0.06980671478129849,-0.06980671478129849,0.06980671478129849,0.06980671478129849,-0.06980671478129849,0.06980671478129849,0.06980671478129849,0.139613429562597,-0.06980671478129849,0.06980671478129849,0.06980671478129849,-0.06980671478129849,0.06980671478129849,0,-0.06980671478129849,0.139613429562597,0.139613429562597
0.15,0,0,0,0,0.07475667994901311,0,0.07475667994901311,0,0,0,0,0.005588561196999179,1,0.07475667994901311,0.005588561196999179,1,0.07475667994901311,0.07475667994901311,0.1495133598980262,0.07475667994901311,-0.07475667994901311,0,0.07475667994901311,-0.07475667994901311,0.07475667994901311,0.07475667994901311,-0.07475667994901311,0.07475667994901311,0.07475667994901311,0.1495133598980262,-0.07475667994901311,0.07475667994901311,0.07475667994901311,-0.07475667994901311,0.07475667994901311,0,-0.07475667994901311,0.1495133598980262,0.1495133598980262
0.16,0,0,0,0,0.07969916192569844,0,0.07969916192569844,0,0,0,0,0.0063519564116587,1,0.07969916192569844,0.0063519564116587,1,0.07969916192569844,0.07969916192569844,0.1593983238513969,0.07969916192569844,-0.07969916192569844,0,0.07969916192569844,-0.07969916192569844,0.07969916192569844,0.07969916192569844,-0.07969916192569844,0.07969916192569844,0.07969916192569844,0.1593983238513969,-0.07969916192569844,0.07969916192569844,0.07969916192569844,-0.07969916192569844,0.07969916192569844,0,-0.07969916192569844,0.1593983238513969,0.1593983238513969
0.17,0,0,0,0,0.084633665965777,0,0.084633665965777,0,0,0,0,0.007162857414806719,1,0.084633665965777,0.007162857414806719,1,0.084633665965777,0.084633665965777,0.169267331931554,0.084633665965777,-0.084633665965777,0,0.084633665965777,-0.084633665965777,0.084633665965777,0.084633665965777,-0.084633665965777,0.084633665965777,0.084633665965777,0.169267331931554,-0.084633665965777,0.084633665965777,0.084633665965777,-0.084633665965777,0.084633665965777,0,-0.084633665965777,0.169267331931554,0.169267331931554
0.18,0,0,0,0,0.0895596981222678,0,0.0895596981222678,0,0,0,0,0.008020939527751739,1,0.0895596981222678,0.008020939527751739,1,0.0895596981222678,0.0895596981222678,0.1791193962445356,0.0895596981222678,-0.0895596981222678,0,0.0895596981222678,-0.0895596981222678,0.0895596981222678,0.0895596981222678,-0.0895596981222678,0.0895596981222678,0.0895596981222678,0.1791193962445356,-0.0895596981222678,0.0895596981222678,0.0895596981222678,-0.0895596981222678,0.0895596981222678,0,-0.0895596981222678,0.1791193962445356,0.1791193962445356
0.19,0,0,0,0,0.09447676529623084,0,0.09447676529623084,0,0,0,0,0.008925859180839088,1,0.09447676529623084,0.008925859180839088,1,0.09447676529623084,0.09447676529623084,0.1889535305924617,0.09447676529623084,-0.09447676529623084,0,0.09447676529623084,-0.09447676529623084,0.09447676529623084,0.09447676529623084,-0.09447676529623084,0.09447676529623084,0.09447676529623084,0.1889535305924617,-0.09447676529623084,0.09447676529623084,0.09447676529623084,-0.09447676529623084,0.09447676529623084,0,-0.09447676529623084,0.1889535305924617,0.1889535305924617
0.2,0,0,0,0,0.09938437528612651,0,0.09938437528612651,0,0,0,0,0.009877254051013633,1,0.09938437528612651,0.009877254051013633,1,0.09938437528612651,0.09938437528612651,0.198768750572253,0.09938437528612651,-0.09938437528612651,0,0.09938437528612651,-0.09938437528612651,0.09938437528612651,0.09938437528612651,-0.09938437528612651,0.09938437528612651,0.09938437528612651,0.198768750572253,-0.09938437528612651,0.09938437528612651,0.09938437528612651,-0.09938437528612651,0.09938437528612651,0,-0.09938437528612651,0.198768750572253,0.198768750572253
0.21,0,0,0,0,0.1042820368370853,0,0.1042820368370853,0,0,0,0,0.01087474320689122,1,0.1042820368370853,0.01087474320689122,1,0.1042820368370853,0.1042820368370853,0.2085640736741706,0.1042820368370853,-0.1042820368370853,0,0.1042820368370853,-0.1042820368370853,0.1042820368370853,0.1042820368370853,-0.1042820368370853,0.1042820368370853,0.1042820368370853,0.2085640736741706,-0.1042820368370853,0.1042820368370853,0.1042820368370853,-0.1042820368370853,0.1042820368370853,0,-0.1042820368370853,0.2085640736741706,0.2085640736741706
0.22,0,0,0,0,0.1091692596900828,0,0.1091692596900828,0,0,0,0,0.01191792726128073,1,0.1091692596900828,0.01191792726128073,1,0.1091692596900828,0.1091692596900828,0.2183385193801655,0.1091692596900828,-0.1091692596900828,0,0.1091692596900828,-0.1091692596900828,0.1091692596900828,0.1091692596900828,-0.1091692596900828,0.1091692596900828,0.1091692596900828,0.2183385193801655,-0.1091692596900828,0.1091692596900828,0.1091692596900828,-0.1091692596900828,0.1091692596900828,0,-0.1091692596900828,0.2183385193801655,0.2183385193801655
0.23,0,0,0,0,0.1140455546310148,0,0.1140455546310148,0,0,0,0,0.01300638853109577,1,0.1140455546310148,0.01300638853109577,1,0.1140455546310148,0.1140455546310148,0.2280911092620295,0.1140455546310148,-0.1140455546310148,0,0.1140455546310148,-0.1140455546310148,0.1140455546310148,0.1140455546310148,-0.1140455546310148,0.1140455546310148,0.1140455546310148,0.2280911092620295,-0.1140455546310148,0.1140455546310148,0.1140455546310148,-0.1140455546310148,0.1140455546310148,0,-0.1140455546310148,0.2280911092620295,0.2280911092620295
0.24,0,0,0,0,0.118910433539668,0,0.118910433539668,0,0,0,0,0.0141396912045918,1,0.118910433539668,0.0141396912045918,1,0.118910433539668,0.118910433539668,0.237820867079336,0.118910433539668,-0.118910433539668,0,0.118910433539668,-0.118910433539668,0.118910433539668,0.118910433539668,-0.118910433539668,0.118910433539668,0.118910433539668,0.237820867079336,-0.118910433539668,0.118910433539668,0.118910433539668,-0.118910433539668,0.118910433539668,0,-0.118910433539668,0.237820867079336,0.237820867079336
0.25,0,0,0,0,0.1237634094385814,0,0.1237634094385814,0,0,0,0,0.01531738151586193,1,0.1237634094385814,0.01531738151586193,1,0.1237634094385814,0.1237634094385814,0.2475268188771627,0.1237634094385814,-0.1237634094385814,0,0.1237634094385814,-0.1237634094385814,0.1237634094385814,0.1237634094385814,-0.1237634094385814,0.1237634094385814,0.1237634094385814,0.2475268188771627,-0.1237634094385814,0.1237634094385814,0.1237634094385814,-0.1237634094385814,0.1237634094385814,0,-0.1237634094385814,0.2475268188771627,0.2475268188771627
0.26,0,0,0,0,0.1286039965417924,0,0.1286039965417924,0,0,0,0,0.01653898792652135,1,0.1286039965417924,0.01653898792652135,1,0.1286039965417924,0.1286039965417924,0.2572079930835848,0.1286039965417924,-0.1286039965417924,0,0.1286039965417924,-0.1286039965417924,0.1286039965417924,0.1286039965417924,-0.1286039965417924,0.1286039965417924,0.1286039965417924,0.2572079930835848,-0.1286039965417924,0.1286039965417924,0.1286039965417924,-0.1286039965417924,0.1286039965417924,0,-0.1286039965417924,0.2572079930835848,0.2572079930835848
0.27,0,0,0,0,0.1334317103034652,0,0.1334317103034652,0,0,0,0,0.01780402131450785,1,0.1334317103034652,0.01780402131450785,1,0.1334317103034652,0.1334317103034652,0.2668634206069303,0.1334317103034652,-0.1334317103034652,0,0.1334317103034652,-0.1334317103034652,0.1334317103034652,0.1334317103034652,-0.1334317103034652,0.1334317103034652,0.1334317103034652,0.2668634206069303,-0.1334317103034652,0.1334317103034652,0.1334317103034652,-0.1334317103034652,0.1334317103034652,0,-0.1334317103034652,0.2668634206069303,0.2668634206069303
0.28,0,0,0,0,0.1382460674663931,0,0.1382460674663931,0,0,0,0,0.01911197516992253,1,0.1382460674663931,0.01911197516992253,1,0.1382460674663931,0.1382460674663931,0.2764921349327863,0.1382460674663931,-0.1382460674663931,0,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0.1382460674663931,0.2764921349327863,-0.1382460674663931,0.1382460674663931,0.1382460674663931,-0.1382460674663931,0.1382460674663931,0,-0.1382460674663931,0.2764921349327863,0.2764921349327863
0.29,0,0,0,0,0.1430465861103739,0,0.1430465861103739,0,0,0,0,0.02046232579783261,1,0.1430465861103739,0.02046232579783261,1,0.1430465861103739,0.1430465861103739,0.2860931722207478,0.1430465861103739,-0.1430465861103739,0,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0.1430465861103739,0.2860931722207478,-0.1430465861103739,0.1430465861103739,0.1430465861103739,-0.1430465861103739,0.1430465861103739,0,-0.1430465861103739,0.2860931722207478,0.2860931722207478
0.3,0,0,0,0,0.1478327857004496,0,0.1478327857004496,0,0,0,0,0.02185453252795504,1,0.1478327857004496,0.02185453252795504,1,0.1478327857004496,0.1478327857004496,0.2956655714008991,0.1478327857004496,-0.1478327857004496,0,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0.1478327857004496,0.2956655714008991,-0.1478327857004496,0.1478327857004496,0.1478327857004496,-0.1478327857004496,0.1478327857004496,0,-0.1478327857004496,0.2956655714008991,0.2956655714008991
0.31,0,0,0,0,0.1526041871350086,0,0.1526041871350086,0,0,0,0,0.02328803793113672,1,0.1526041871350086,0.02328803793113672,1,0.1526041871350086,0.1526041871350086,0.3052083742700172,0.1526041871350086,-0.1526041871350086,0,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0.1526041871350086,0.3052083742700172,-0.1526041871350086,0.1526041871350086,0.1526041871350086,-0.1526041871350086,0.1526041871350086,0,-0.1526041871350086,0.3052083742700172,0.3052083742700172
0.32,0,0,0,0,0.1573603127937442,0,0.1573603127937442,0,0,0,0,0.02476226804254501,1,0.1573603127937442,0.02476226804254501,1,0.1573603127937442,0.1573603127937442,0.3147206255874884,0.1573603127937442,-0.1573603127937442,0,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0.1573603127937442,0.3147206255874884,-0.1573603127937442,0.1573603127937442,0.1573603127937442,-0.1573603127937442,0.1573603127937442,0,-0.1573603127937442,0.3147206255874884,0.3147206255874884
